ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0011	I0012	I0013	I0014	I0015	I0016	I0017	I0018	I0019	I0020	I0021	I0022	I0023	I0024	I0025	I0026	I0027	I0028	I0029	I0030	I0031	I0032	I0033	I0034	I0035	I0036	I0037	I0038	I0039	I0040	I0041	I0042	I0043	I0044	I0045	I0046	I0047	I0048	I0049	I0050	I0051	I0052	I0053	I0054	I0055	I0056	I0057	I0058	I0059	I0060	I0061	I0062	I0063	I0064	I0065	I0066	I0067	I0068	I0069	I0070	I0071	I0072	I0073	I0074	I0075	I0076	I0077	I0078	I0079	I0080	I0081	I0082	I0083	I0084	I0085	I0086	I0087	I0088	I0089	I0090	I0091	I0092	I0093	I0094	I0095	I0096	I0097	I0098	I0099	I0100
75	16	13	16	13	15	16	15	15	15	16	18	13	13	14	16	10	15	18	10	12	18	13	16	16	16	18	16	11	12	13	12	9	16	15	14	17	15	9	18	12	14	15	14	17	18	18	11	14	15	12	15	14	15	14	17	15	11	14	14	13	15	16	16	13	14	11	15	15	16	15	15	12	16	16	16	12	13	12	17	17	15	12	15	12	13	15	15	13	14	15	14	15	14	14	17	16	16	17	10	13
76	16	13	16	13	15	16	15	15	15	16	18	13	13	14	16	10	15	18	10	12	18	13	16	16	16	18	16	11	12	13	12	9	16	15	14	17	15	9	18	12	14	15	14	17	18	18	11	14	15	12	15	14	15	14	17	15	11	14	14	13	15	16	16	13	14	11	15	15	16	15	15	12	16	16	16	12	13	12	17	17	15	12	15	12	13	15	15	13	14	15	14	15	14	14	17	16	16	17	10	13
77	16	13	16	13	15	16	15	15	15	16	18	13	13	14	16	10	15	18	10	12	18	13	16	16	16	18	16	11	12	13	12	9	16	15	14	17	15	9	18	12	14	15	14	17	18	18	11	14	15	12	15	14	15	14	17	15	11	14	14	13	15	16	16	13	14	11	15	15	16	15	15	12	16	16	16	12	13	12	17	17	15	12	15	12	13	15	15	13	14	15	14	15	14	14	17	16	16	17	10	13
78	16	13	16	13	15	16	15	15	15	16	18	13	13	14	16	10	15	18	10	12	18	13	16	16	16	18	16	11	12	13	12	9	16	15	14	17	15	9	18	12	14	15	14	17	18	18	11	14	15	12	15	14	15	14	17	15	11	14	14	13	15	16	16	13	14	11	15	15	16	15	15	12	16	16	16	12	13	12	17	17	15	12	15	12	13	15	15	13	14	15	14	15	14	14	17	16	16	17	10	13
79	16	13	16	13	15	16	15	15	15	16	18	13	13	14	16	10	15	18	10	12	18	13	16	16	16	18	16	11	12	13	12	9	16	15	14	17	15	9	18	12	14	15	14	17	18	18	11	14	15	12	15	14	15	14	17	15	11	14	14	13	15	16	16	13	14	11	15	15	16	15	15	12	16	16	16	12	13	12	17	17	15	12	15	12	13	15	15	13	14	15	14	15	14	14	17	16	16	17	10	13
80	16	13	16	13	15	16	15	15	15	16	18	13	13	14	16	10	15	18	10	12	18	13	16	16	16	18	16	11	12	13	12	9	16	15	14	17	15	9	18	12	14	15	14	17	18	18	11	14	15	12	15	14	15	14	17	15	11	14	14	13	15	16	16	13	14	11	15	15	16	15	15	12	16	16	16	12	13	12	17	17	15	12	15	12	13	15	15	13	14	15	14	15	14	14	17	16	16	17	10	13
81	16	13	16	13	15	16	15	15	15	16	18	13	13	14	16	10	15	18	10	12	18	13	16	16	16	18	16	11	12	13	12	9	16	15	14	17	15	9	18	12	14	15	14	17	18	18	11	14	15	12	15	14	15	14	17	15	11	14	14	13	15	16	16	13	14	11	15	15	16	15	15	12	16	16	16	12	13	12	17	17	15	12	15	12	13	15	15	13	14	15	14	15	14	14	17	16	16	17	10	13
82	16	13	16	13	15	16	15	15	15	16	18	13	13	14	16	10	15	18	10	12	18	13	16	16	16	18	16	11	12	13	12	9	16	15	14	17	15	9	18	12	14	15	14	17	18	18	11	14	15	12	15	14	15	14	17	15	11	14	14	13	15	16	16	13	14	11	15	15	16	15	15	12	16	16	16	12	13	12	17	17	15	12	15	12	13	15	15	13	14	15	14	15	14	14	17	16	16	17	10	13
156	16	13	16	13	15	16	15	15	15	16	18	13	13	14	16	10	15	18	10	12	18	13	16	16	16	18	16	11	12	13	12	9	16	15	14	17	15	9	18	12	14	15	14	17	18	18	11	14	15	12	15	14	15	14	17	15	11	14	14	13	15	16	16	13	14	11	15	15	16	15	15	12	16	16	16	12	13	12	17	17	15	12	15	12	13	15	15	13	14	15	14	15	14	14	17	16	16	17	10	13
157	16	13	16	13	15	16	15	15	15	16	18	13	13	14	16	10	15	18	10	12	18	13	16	16	16	18	16	11	12	13	12	9	16	15	14	17	15	9	18	12	14	15	14	17	18	18	11	14	15	12	15	14	15	14	17	15	11	14	14	13	15	16	16	13	14	11	15	15	16	15	15	12	16	16	16	12	13	12	17	17	15	12	15	12	13	15	15	13	14	15	14	15	14	14	17	16	16	17	10	13
