HID	PA
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
238	0
239	0
240	0
241	0
242	0
243	0
320	0
321	0
322	0
323	0
324	0
325	0
401	0
402	0
403	0
404	0
405	0
406	1
483	0
484	0
485	0
486	0
487	0
564	0
565	0
566	0
567	0
568	0
645	0
646	0
647	0
648	0
649	0
727	0
728	0
729	0
730	0
809	0
810	0
811	0
889	0
890	0
891	0
892	0
972	0
973	0
19763	0
19764	0
19843	0
19844	0
19925	0
19926	0
20332	1
22519	1
22600	1
22762	1
22843	1
23005	1
23086	1
23166	1
23167	1
23247	1
23248	1
23328	1
23329	1
23407	1
23408	1
23409	1
23410	1
23488	1
23489	1
23490	1
23491	1
23569	1
23570	1
23571	1
23572	1
23651	1
23652	1
23653	1
23732	1
23733	1
23734	1
23814	1
23815	1
23896	1
23976	1
23977	1
24058	1
24220	1
25108	1
25109	1
25187	1
25188	1
25189	1
25190	1
25191	1
25192	1
25269	1
25270	1
25271	1
25272	1
25273	1
25350	1
25351	1
25352	1
25353	1
25354	1
25431	1
25432	1
25433	1
25434	1
25435	1
25512	1
25513	1
25514	1
25515	1
25516	1
25594	1
25595	1
25596	1
25597	1
25674	1
25675	1
25676	1
25677	1
25678	1
25756	1
25757	1
25758	1
25759	1
25837	1
25838	1
25839	1
25840	1
25918	1
25919	1
25920	1
25921	1
25999	1
26000	1
26001	1
26002	1
26081	1
26082	1
26083	1
26161	1
26162	1
26163	1
26164	1
26242	1
26243	1
26244	1
26245	1
26324	1
26325	1
26326	1
26404	1
26405	1
26406	1
26407	1
26485	1
26486	1
26487	1
26488	1
26567	1
26568	1
26569	1
26647	1
26648	1
26649	1
26650	1
26729	1
26730	1
26731	1
26810	1
26811	1
26812	1
26891	1
26892	1
26893	1
26972	1
26973	1
26974	1
27054	1
27055	1
27134	1
27135	1
27136	1
27216	1
27217	1
39418	1
39419	1
39420	1
39421	1
39422	1
39423	1
39424	1
39425	1
39426	1
39430	1
39431	1
39432	1
39433	1
39434	1
39435	1
39436	1
39437	1
39438	1
39440	1
39446	1
39447	1
39498	1
39499	1
39500	1
39501	1
39502	1
39503	1
39504	1
39505	1
39506	1
39507	1
39510	1
39511	1
39512	1
39513	1
39514	1
39515	1
39516	1
39517	1
39518	1
39519	1
39520	1
39526	1
39527	1
39528	1
39580	1
39581	1
39582	1
39583	1
39584	1
39585	1
39586	1
39587	1
39588	1
39589	1
39590	1
39591	1
39592	1
39593	1
39594	1
39595	1
39596	1
39597	1
39598	1
39599	1
39600	1
39601	1
39602	1
39603	1
39607	1
39608	1
39661	1
39662	1
39663	1
39664	1
39665	1
39666	1
39667	1
39668	1
39669	1
39670	1
39671	1
39672	1
39673	1
39674	1
39675	1
39676	1
39677	1
39678	1
39679	1
39680	1
39681	1
39682	1
39683	1
39684	1
39685	1
39688	1
39689	1
39690	1
39742	1
39743	1
39744	1
39745	1
39746	1
39747	1
39748	1
39749	1
39750	1
39751	1
39752	1
39753	1
39754	1
39755	1
39756	1
39757	1
39758	1
39759	1
39760	1
39761	1
39762	1
39763	1
39764	1
39765	1
39766	1
39768	1
39769	1
39824	1
39825	1
39826	1
39827	1
39828	1
39829	1
39830	1
39831	1
39832	1
39833	1
39834	1
39835	1
39836	1
39837	1
39838	1
39839	1
39840	1
39841	1
39842	1
39843	1
39844	1
39845	1
39846	1
39847	1
39848	1
39849	1
39850	1
39851	1
39906	1
39907	1
39908	1
39909	1
39910	1
39911	1
39912	1
39913	1
39914	1
39915	1
39916	1
39917	1
39918	1
39919	1
39920	1
39921	1
39922	1
39923	1
39924	1
39925	1
39926	1
39927	1
39928	1
39929	1
39930	1
39931	1
39933	1
39987	1
39988	1
39989	1
39990	1
39991	1
39992	1
39993	1
39994	1
39995	1
39996	1
39997	1
39998	1
39999	1
40000	1
40001	1
40002	1
40003	1
40004	1
40005	1
40006	1
40007	1
40008	1
40009	1
40010	1
40011	1
40012	1
40014	1
40015	1
40068	1
40069	1
40070	1
40071	1
40072	1
40073	1
40074	1
40075	1
40076	1
40077	1
40078	1
40079	1
40080	1
40081	1
40082	1
40083	1
40084	1
40085	1
40086	1
40087	1
40088	1
40089	1
40090	1
40091	1
40092	1
40093	1
40095	1
40096	1
40150	1
40151	1
40152	1
40153	1
40154	1
40155	1
40156	1
40157	1
40158	1
40159	1
40160	1
40161	1
40162	1
40163	1
40164	1
40165	1
40166	1
40167	1
40168	1
40169	1
40170	1
40171	1
40172	1
40173	1
40174	1
40230	1
40231	1
40232	1
40233	1
40234	1
40235	1
40236	1
40237	1
40238	1
40239	1
40240	1
40241	1
40242	1
40243	1
40244	1
40245	1
40246	1
40247	1
40248	1
40249	1
40250	1
40251	1
40252	1
40253	1
40254	1
40255	1
40258	1
40312	1
40313	1
40314	1
40315	1
40316	1
40317	1
40318	1
40319	1
40320	1
40321	1
40322	1
40323	1
40324	1
40325	1
40326	1
40327	1
40328	1
40329	1
40330	1
40331	1
40332	1
40333	1
40334	1
40335	1
40336	1
40337	1
40339	1
40394	1
40395	1
40396	1
40397	1
40398	1
40399	1
40400	1
40401	1
40402	1
40403	1
40404	1
40405	1
40406	1
40407	1
40408	1
40409	1
40410	1
40411	1
40412	1
40413	1
40414	1
