ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0011	I0012	I0013	I0014	I0015	I0016	I0017	I0018	I0019	I0020	I0021	I0022	I0023	I0024	I0025	I0026	I0027	I0028	I0029	I0030	I0031	I0032	I0033	I0034	I0035	I0036	I0037	I0038	I0039	I0040	I0041	I0042	I0043	I0044	I0045	I0046	I0047	I0048	I0049	I0050	I0051	I0052	I0053	I0054	I0055	I0056	I0057	I0058	I0059	I0060	I0061	I0062	I0063	I0064	I0065	I0066	I0067	I0068	I0069	I0070	I0071	I0072	I0073	I0074	I0075	I0076	I0077	I0078	I0079	I0080	I0081	I0082	I0083	I0084	I0085	I0086	I0087	I0088	I0089	I0090	I0091	I0092	I0093	I0094	I0095	I0096	I0097	I0098	I0099	I0100
31994	8	6	7	6	1	3	8	1	2	1	7	1	3	7	2	4	5	1	3	10	8	6	7	10	1	7	8	6	7	1	2	1	7	4	3	1	1	3	3	9	5	6	5	10	7	5	5	5	3	3	5	6	7	1	1	8	8	1	4	8	1	3	10	8	10	3	9	6	3	10	9	2	6	5	7	9	1	10	1	4	9	5	6	5	5	6	1	1	10	7	1	3	8	10	1	10	9	7	3	1
32075	8	6	7	6	1	3	8	1	2	1	7	1	3	7	2	4	5	1	3	10	8	6	7	10	1	7	8	6	7	1	2	1	7	4	3	1	1	3	3	9	5	6	5	10	7	5	5	5	3	3	5	6	7	1	1	8	8	1	4	8	1	3	10	8	9	3	9	6	3	10	9	2	6	5	7	9	1	10	1	4	9	5	6	5	5	6	1	1	10	7	1	3	8	10	1	10	9	7	3	1
32076	8	6	7	6	1	3	8	7	2	1	7	1	3	7	2	4	5	1	3	10	8	6	7	10	1	7	8	6	7	1	2	1	7	4	3	1	1	3	3	9	5	6	5	10	7	5	5	5	3	3	5	6	7	1	1	8	8	1	4	8	1	3	10	8	10	3	9	6	3	10	9	2	6	5	7	9	1	8	1	4	9	5	6	5	5	6	1	1	10	7	1	3	8	10	1	10	9	7	3	1
32077	8	6	7	6	1	3	8	7	2	1	7	1	3	7	2	4	5	1	3	10	8	6	7	10	1	7	8	6	7	1	2	1	7	9	3	1	1	3	3	9	4	6	5	10	7	5	5	5	3	3	5	6	7	1	1	8	8	1	4	8	1	3	10	8	10	3	9	6	3	10	9	2	6	5	7	9	1	8	1	4	9	5	6	4	5	6	1	1	10	7	1	3	8	10	1	10	9	7	3	1
32156	10	6	7	6	1	3	8	1	2	1	7	1	3	7	2	5	5	1	3	10	8	6	7	10	1	7	8	6	7	1	2	1	7	4	3	1	1	3	3	9	5	6	5	10	7	5	5	5	3	10	5	6	7	1	1	8	8	1	4	8	1	3	10	8	9	3	9	6	3	10	9	1	6	5	7	9	1	10	1	4	9	5	6	5	5	6	2	1	10	7	1	3	8	10	1	10	9	7	3	1
32157	8	6	7	6	1	3	8	1	2	1	7	1	3	7	2	4	5	1	3	10	8	6	7	10	1	7	8	6	7	1	2	1	7	4	3	1	1	3	3	9	5	6	5	10	7	5	5	5	3	3	5	6	7	1	1	8	8	1	4	8	1	3	10	8	9	3	9	6	3	10	9	2	6	5	7	9	1	10	1	4	9	5	6	5	5	6	1	1	10	7	1	3	8	10	1	10	9	7	3	1
32158	8	6	7	6	1	3	8	7	2	1	7	1	3	7	2	4	5	1	3	10	8	6	7	10	1	7	8	6	7	1	2	1	7	4	3	1	1	3	3	9	4	6	5	10	7	5	5	5	3	3	5	6	7	1	1	8	8	1	4	8	1	3	10	8	10	3	9	6	3	10	9	2	6	5	7	9	1	8	1	4	9	5	6	5	5	6	1	1	10	7	1	3	8	10	1	10	9	7	3	1
32236	10	6	8	6	1	3	8	1	3	1	7	1	3	7	2	5	5	1	3	10	8	6	7	10	1	1	8	6	7	1	2	1	7	4	3	1	1	3	3	9	5	6	5	10	7	5	5	5	3	10	5	6	7	1	1	8	8	1	4	8	1	3	10	8	9	3	9	6	3	10	9	1	6	5	10	9	1	10	1	4	9	5	6	5	5	6	2	1	10	7	1	3	8	10	1	10	9	7	3	1
32237	10	6	7	6	1	3	8	1	2	1	7	1	3	7	2	4	5	1	3	10	8	6	7	10	1	7	8	6	7	1	2	1	7	4	3	1	1	3	3	9	5	6	5	10	7	5	5	5	3	10	5	6	7	1	1	8	8	1	4	8	1	3	10	8	9	3	9	6	3	10	9	2	6	5	7	9	1	10	1	4	9	5	6	5	5	6	2	1	10	7	1	3	8	10	1	10	9	7	3	1
32238	8	6	7	6	1	3	8	7	2	1	7	1	3	7	2	4	5	1	3	10	8	6	7	10	1	7	8	6	7	1	2	1	7	4	3	1	1	3	3	9	5	6	5	10	7	5	5	5	3	3	5	6	7	1	1	8	8	1	4	8	1	3	10	8	9	3	9	6	3	10	9	2	6	5	7	9	1	10	1	4	9	5	6	5	5	6	1	1	10	7	1	3	8	10	1	10	9	7	3	1
