HID	PA
31994	0
32075	0
32076	0
32077	0
32156	0
32157	0
32158	0
32236	0
32237	0
32238	0
32239	0
32317	0
32318	0
32319	0
32320	0
32399	0
32400	0
32401	0
32479	0
32480	0
32481	0
32482	0
32561	0
32562	0
32563	0
32643	0
32644	0
32723	0
32724	0
32725	0
32804	0
32805	0
32806	0
32886	0
32887	0
32966	0
32967	0
32968	0
33048	0
33049	0
33129	0
33130	0
33210	0
33211	0
33291	0
33292	0
33373	0
33453	0
33454	0
33534	0
33535	0
33616	0
33696	0
33697	0
33777	0
33778	0
33859	0
33939	0
33940	0
34021	0
34102	0
34182	0
34183	0
34264	0
34345	0
34425	0
34426	0
34506	0
34507	0
34588	0
34669	0
34750	0
34912	0
34993	0
35155	0
39385	0
39386	0
39387	0
39388	0
39389	0
39390	0
39391	0
39392	0
39393	0
39394	0
39395	0
39396	0
39397	0
39398	0
39466	0
39467	0
39468	0
39469	0
39470	0
39471	0
39472	0
39473	0
39474	0
39475	0
39476	0
39477	0
39478	0
39479	0
39547	0
39548	0
39549	0
39550	0
39551	0
39552	0
39553	0
39554	0
39555	0
39556	0
39557	0
39558	0
39559	0
39560	0
39629	0
39630	0
39631	0
39632	0
39633	0
39634	0
39635	0
39636	0
39637	0
39638	0
39639	0
39640	0
39641	0
39642	0
39709	0
39710	0
39711	0
39712	0
39713	0
39714	0
39715	0
39716	0
39717	0
39718	0
39719	0
39720	0
39721	0
39722	0
39790	0
39791	0
39792	0
39793	0
39794	0
39795	0
39796	0
39797	0
39798	0
39799	0
39800	0
39801	0
39802	0
39803	0
39804	0
39871	0
39872	0
39873	0
39874	0
39875	0
39876	0
39877	0
39878	0
39879	0
39880	0
39881	0
39882	0
39883	0
39884	0
39885	0
39886	0
39952	0
39953	0
39954	0
39955	0
39956	0
39957	0
39958	0
39959	0
39960	0
39961	0
39962	0
39963	0
39964	0
39965	0
39966	0
40033	0
40034	0
40035	0
40036	0
40037	0
40038	0
40039	0
40040	0
40041	0
40042	0
40043	0
40044	0
40045	0
40046	0
40047	0
40048	0
40114	0
40115	0
40116	0
40117	0
40118	0
40119	0
40120	0
40121	0
40122	0
40123	0
40124	0
40125	0
40126	0
40127	0
40128	0
40129	0
40130	0
40195	0
40196	0
40197	0
40198	0
40199	0
40200	0
40201	0
40202	0
40203	0
40204	0
40205	0
40206	0
40207	0
40208	0
40209	0
40210	0
40276	0
40277	0
40278	0
40279	0
40280	0
40281	0
40282	0
40283	0
40284	0
40285	0
40286	0
40287	0
40288	0
40289	0
40290	0
40291	0
40292	0
40357	0
40358	0
40359	0
40360	0
40361	1
40362	0
40363	0
40364	0
40365	0
40366	0
40367	0
40368	0
40369	0
40370	0
40371	0
40372	0
40373	0
40438	0
40439	0
40440	1
40441	1
40442	1
40443	0
40444	0
40445	0
40446	0
40447	0
40448	0
40449	0
40450	0
40451	0
40452	0
40453	0
40454	0
40519	0
40520	1
40521	1
40522	1
40523	1
40524	0
40525	0
40526	0
40527	0
40528	0
40529	0
40530	0
40531	0
40532	0
40533	0
40534	0
40535	0
40600	0
40601	1
40602	1
40603	1
40604	1
40605	1
40606	0
40607	0
40608	0
40609	0
40610	0
40611	0
40612	0
40613	0
40614	0
40615	0
40616	0
40617	0
