ID	I0001	I0002	I0003	I0004	I0005	I0006	I0007	I0008	I0009	I0010	I0011	I0012	I0013	I0014	I0015	I0016	I0017	I0018	I0019	I0020	I0021	I0022	I0023	I0024	I0025	I0026	I0027	I0028	I0029	I0030	I0031	I0032	I0033	I0034	I0035	I0036	I0037	I0038	I0039	I0040	I0041	I0042	I0043	I0044	I0045	I0046	I0047	I0048	I0049	I0050	I0051	I0052	I0053	I0054	I0055	I0056	I0057	I0058	I0059	I0060	I0061	I0062	I0063	I0064	I0065	I0066	I0067	I0068	I0069	I0070	I0071	I0072	I0073	I0074	I0075	I0076	I0077	I0078	I0079	I0080	I0081	I0082	I0083	I0084	I0085	I0086	I0087	I0088	I0089	I0090	I0091	I0092	I0093	I0094	I0095	I0096	I0097	I0098	I0099	I0100
48763	9	10	6	1	6	10	2	9	6	10	6	6	1	5	5	6	10	6	6	2	9	10	5	1	7	6	10	9	1	7	10	6	1	6	6	5	4	6	10	5	9	5	1	5	9	1	1	2	4	1	1	8	1	1	7	1	3	5	5	9	6	5	9	1	1	10	6	1	8	6	7	1	10	1	6	1	1	5	7	5	6	10	6	8	5	3	8	1	1	10	2	2	1	1	3	1	1	1	9	5
48844	8	10	6	1	6	10	3	9	6	10	6	6	1	5	5	6	10	6	6	2	9	10	5	1	7	6	10	9	1	7	10	6	1	6	6	5	4	6	10	5	9	5	1	5	9	1	1	2	4	1	1	8	1	1	7	1	3	5	5	9	6	5	9	2	1	10	6	1	8	6	1	1	10	1	6	1	1	5	7	5	6	10	6	8	5	3	8	1	1	10	2	3	1	1	3	1	1	1	9	5
48925	8	10	6	1	6	10	3	9	6	10	6	6	1	5	5	6	10	6	6	8	9	10	5	1	7	6	10	9	1	7	10	6	1	6	6	5	4	6	10	5	9	5	1	5	9	1	1	2	4	1	1	8	1	1	7	1	3	5	5	9	6	5	9	2	1	10	6	1	8	6	1	1	10	1	6	2	1	5	7	5	6	10	6	8	5	3	8	1	1	10	2	3	1	1	3	1	1	1	9	5
49005	8	10	6	1	6	10	3	9	6	10	6	6	1	9	5	6	10	6	6	8	9	10	5	1	7	5	10	9	1	7	10	6	1	6	6	5	4	6	10	5	9	5	1	5	9	1	1	2	4	1	1	8	1	1	7	1	3	5	5	9	6	5	9	2	1	10	6	1	8	6	1	1	10	1	6	2	1	5	7	5	6	10	6	8	5	3	8	1	1	10	2	3	1	1	3	1	1	1	9	5
49006	8	10	6	1	6	10	3	9	6	10	6	6	1	5	5	6	10	6	6	8	9	10	5	1	7	6	10	9	1	7	10	6	1	6	6	5	4	6	10	5	9	5	1	5	9	1	1	2	4	1	1	8	1	1	7	1	3	5	5	9	6	5	9	2	1	10	6	1	8	6	1	1	10	1	6	1	1	5	7	5	6	10	6	8	5	3	8	1	1	10	2	3	1	1	3	1	1	1	9	5
49087	8	10	6	1	6	10	3	9	6	10	6	6	1	9	5	6	10	6	6	8	9	10	5	1	7	5	10	9	1	7	10	6	1	6	6	5	4	6	10	5	9	5	1	5	9	1	1	2	4	1	1	8	1	1	7	1	3	5	5	9	6	5	9	2	1	10	6	1	8	6	1	1	10	1	6	2	1	5	7	5	6	10	6	8	5	3	8	1	1	10	2	3	1	1	3	1	1	1	9	5
49168	8	10	6	1	6	10	3	9	6	10	6	6	1	9	5	6	10	6	6	8	9	10	5	1	7	5	10	9	1	7	10	6	1	6	6	5	4	6	10	5	9	5	1	5	9	1	1	2	4	1	1	8	1	1	7	1	3	5	5	9	6	5	9	2	1	10	6	1	8	6	1	1	10	1	6	2	1	5	7	5	6	10	6	8	5	3	8	1	1	10	2	3	1	1	3	1	1	1	9	5
49249	8	10	6	1	6	10	3	9	6	10	6	6	1	9	5	6	10	6	6	8	9	10	5	1	7	5	10	9	1	7	10	6	1	6	6	5	4	6	10	5	9	5	1	5	9	1	1	2	4	1	1	8	1	1	7	1	3	5	5	9	6	5	9	2	1	10	6	1	8	6	1	1	10	1	6	2	1	5	7	5	6	10	6	8	5	3	8	1	1	10	2	3	1	1	3	1	1	1	9	5
49330	8	10	6	1	6	10	3	9	6	10	6	6	1	9	5	6	6	6	6	8	9	10	5	1	7	5	10	9	1	7	10	6	1	6	6	5	4	6	10	5	9	5	1	5	9	1	1	2	4	1	1	8	1	1	7	1	3	5	5	9	6	5	9	2	1	10	6	1	8	6	1	1	10	1	6	2	1	5	7	5	6	10	6	8	5	3	8	1	1	10	2	3	1	1	3	1	1	1	8	5
49492	8	10	6	1	6	10	3	9	6	10	6	6	1	9	5	6	6	6	6	8	9	10	5	1	7	5	10	9	1	7	10	6	1	6	6	5	4	6	10	5	9	5	1	5	9	1	1	2	4	1	1	8	1	1	7	1	3	5	5	9	6	5	9	2	1	10	6	1	8	6	1	1	10	1	6	2	1	5	7	5	6	10	6	8	5	3	8	1	1	10	2	3	1	1	3	1	1	1	8	5
