HID	PA
48763	0
48844	0
48925	0
49005	0
49006	0
49087	0
49168	0
49249	0
49330	0
49492	0
59090	0
59091	0
59092	0
59093	0
59171	0
59172	0
59173	0
59251	0
59252	0
59253	0
59254	0
59262	0
59332	0
59333	0
59334	0
59335	0
59336	0
59344	0
59413	0
59414	0
59415	0
59416	0
59424	0
59425	0
59494	0
59495	0
59496	0
59497	0
59506	0
59507	0
59576	0
59577	0
59578	0
59579	0
59587	0
59588	0
59589	0
59656	0
59657	0
59658	0
59659	0
59668	0
59669	0
59670	0
59736	0
59737	0
59738	0
59739	0
59740	0
59741	0
59749	0
59750	0
59751	0
59752	0
59816	0
59817	0
59818	0
59819	0
59820	0
59821	0
59822	0
59830	0
59831	0
59832	0
59833	0
59834	0
59895	0
59896	0
59897	0
59898	0
59899	0
59900	0
59901	0
59902	0
59903	0
59910	0
59911	0
59912	0
59913	0
59914	0
59915	0
59976	0
59977	0
59978	0
59979	0
59980	0
59981	0
59982	0
59983	0
59984	0
59985	0
59991	0
59992	0
59993	0
59994	0
59995	0
59996	0
59997	0
60057	0
60058	0
60059	0
60060	0
60061	0
60062	0
60063	0
60064	0
60065	0
60066	0
60067	0
60073	0
60074	0
60075	0
60076	0
60077	0
60078	0
60137	0
60138	0
60139	0
60140	0
60141	0
60142	0
60143	0
60144	0
60145	0
60146	0
60147	0
60148	0
60153	0
60154	0
60155	0
60156	0
60157	0
60158	0
60159	0
60218	0
60219	0
60220	0
60221	0
60222	0
60223	0
60224	0
60225	0
60226	0
60227	0
60228	0
60229	0
60230	0
60235	0
60236	0
60237	0
60238	0
60239	0
60240	0
60299	0
60300	0
60301	0
60302	0
60303	0
60304	0
60305	0
60306	0
60307	0
60308	0
60309	0
60310	0
60311	0
60312	0
60316	0
60317	0
60318	0
60319	0
60320	0
60321	0
60322	0
60379	0
60380	0
60381	0
60382	0
60383	0
60384	0
60385	0
60386	0
60387	0
60388	0
60389	0
60390	0
60391	0
60392	0
60393	0
60397	0
60398	0
60399	0
60400	0
60401	0
60402	0
60403	0
60460	0
60461	0
60462	0
60463	0
60464	0
60465	0
60466	0
60467	0
60468	0
60469	0
60470	0
60471	0
60472	0
60473	0
60474	0
60478	0
60479	0
60480	0
60481	0
60482	0
60483	0
60484	0
60541	0
60542	0
60543	0
60544	0
60545	0
60546	0
60547	0
60548	0
60549	0
60550	0
60551	0
60552	0
60553	0
60554	0
60555	0
60556	0
60557	0
60560	0
60561	0
60562	0
60563	0
60564	0
60565	0
60566	0
60621	0
60622	0
60623	0
60624	0
60625	0
60626	0
60627	0
60628	0
60629	0
60630	0
60631	0
60632	0
60633	0
60634	0
60635	0
60636	0
60637	0
60638	0
60640	0
60641	0
60642	0
60643	0
60644	0
60645	0
60646	0
60702	0
60703	0
60704	0
60705	0
60706	0
60707	0
60708	0
60709	0
60710	0
60711	0
60712	0
60713	0
60714	0
60715	0
60716	0
60717	0
